gene_symbol,lung_tpm,heart_tpm
NPPA,43.34981176470592,363.71051574074033
NPPB,6.725228373702421,761.0959037037037
TNNT2,14.764955017301048,2547.772275462963
RYR2,5.160994463667821,92.15403402777784
SCN5A,0.2269043252595156,39.265647222222206
MYL3,7.452807266435983,3619.885925925927
HAND2,0.3489243944636679,29.72873171296294
IRX4,0.0363624567474048,8.027223379629632
MEF2C,13.678458477508643,4.797249074074073
NKX2-5,0.2288185121107269,109.2592131944444
GATA4,0.3179159169550173,41.49029166666665
CACNA1C,7.541766262975777,10.51259375
MYL2,8.829931833910042,15210.180763888888
TBX5,38.82314705882354,14.855241666666666
MYH6,4.205197750865048,790.4701972222219
MYH7,4.968099480968856,4626.802747685185
ACTC1,7.279117820069206,2613.747416666667
KCNJ2,3.8669733564013873,5.97615
TNNI3,8.753283044982696,4801.572780092594
