gene_symbol,lung_tpm,heart_tpm,log2fc
MYL2,8.829931833910042,15210.180763888888,-10.59566311361109
MYH7,4.968099480968856,4626.802747685185,-9.59884007419892
TNNI3,8.753283044982696,4801.572780092594,-8.943703836827826
MYL3,7.452807266435983,3619.885925925927,-8.742696455643777
COX6A2,3.303898615916953,1634.102534722222,-8.569521298686116
MB,10.69576920415224,4368.995060185185,-8.545501091104448
CSRP3,1.5433143598615906,931.6833905092597,-8.518533821803373
ACTC1,7.279117820069206,2613.747416666667,-8.302978824423318
ACTA1,16.054064878892735,4831.265995370372,-8.146440410556036
MYBPC3,3.925759861591697,1248.047784953704,-7.9862666600634284
CKM,14.517514532871973,2927.502178240741,-7.5601216602388615
EEF1A2,3.102031833910037,735.3645902777777,-7.487937755015775
LMOD2,0.5102425605536334,268.276487037037,-7.478164170491082
SMPX,0.6824494809688575,297.0163379629629,-7.468684429017921
MYOZ2,1.533614532871972,437.14134490740776,-7.434055501952204
NRAP,0.8551361591695503,316.98982546296315,-7.421311716478547
NMRK2,2.9476219723183377,652.6302546296297,-7.371347110242326
TNNT2,14.764955017301048,2547.772275462963,-7.3369376152349455
MYH6,4.205197750865048,790.4701972222219,-7.2484382424895895
TCAP,11.593778892733573,1736.507511574074,-7.108164161183054
