gene_symbol,lung_tpm,heart_tpm,mean_tpm,log2fc,direction
MTCO3P12,27.73603633217994,166.88472916666672,97.31038274942333,-2.546538024006671,heart_enriched
PERM1,0.9230209342560564,61.37447592592593,31.148748430090993,-5.019509415649047,heart_enriched
NPPA,43.34981176470592,363.71051574074033,203.53016375272313,-3.0397519112914653,heart_enriched
NPPB,6.725228373702421,761.0959037037037,383.91056603870305,-6.624251167913872,heart_enriched
HSPB7,33.288768166089994,1821.7619907407409,927.5253794534154,-5.732246305904877,heart_enriched
MYOM3,0.2949622837370241,73.78466412037038,37.0398132020537,-5.8517604664488765,heart_enriched
TRIM63,1.5213475778546717,115.38684953703708,58.454098557445874,-5.528589235005762,heart_enriched
FABP3,32.93785294117647,2437.6824305555547,1235.3101417483656,-6.167062793404095,heart_enriched
FNDC5,1.8340839100346011,24.004827777777763,12.919455843906182,-3.1412522898917357,heart_enriched
CYP2J2,2.0051477508650524,35.4325238425926,18.718835796728825,-3.5997191112026994,heart_enriched
AK4,3.0459181660899644,15.737881249999988,9.391899708044976,-2.0485778722238224,heart_enriched
TNNI3K,1.8644223183391,21.349385416666685,11.606903867502892,-2.9639190411737704,heart_enriched
LRRC39,3.757247231833911,56.22944629629627,29.993346764065087,-3.588558740134126,heart_enriched
CASQ2,11.647095674740482,451.6693240740743,231.6582098744074,-5.161579520846482,heart_enriched
HMGCS2,1.035129930795848,22.887496759259243,11.961313345027545,-3.553062867538136,heart_enriched
HFE2,0.2240067474048444,16.33604097222222,8.280023859813532,-3.8240910521309983,heart_enriched
PDE4DIP,10.276491349480976,45.58363749999999,27.930064424740483,-2.0465050505018647,heart_enriched
WI2-1896O14.1,13.042093425605549,200.0376212962965,106.53985736095102,-3.839635569393247,heart_enriched
S100A1,2.4576340830449857,28.11269444444443,15.285164263744708,-3.0737912666501717,heart_enriched
ATP1A2,14.143091349480963,96.90631481481486,55.524703082147916,-2.692742163707731,heart_enriched
