gene_symbol,log2fc,pval,padj
CFL2,2.6024394,4.1166661692806285e-176,4.260099485283985e-174
COL18A1,3.3671987,1.7164453147227338e-175,1.7669501454491304e-173
CNN3,1.6888876,7.015742193948999e-171,7.037934847827818e-169
MORF4L1,0.91887337,1.390896068446452e-170,1.3882131217154387e-168
RBPMS,3.1816254,6.777825069758689e-170,6.696763644301274e-168
ESD,1.3958825,1.3171406080316031e-168,1.294880931755869e-166
CDH13,4.6897564,4.556433340624057e-168,4.457143897679115e-166
MAGED2,1.8110088,4.240525461875134e-166,4.067181055189702e-164
PPDPF,1.0424111,2.7417662335772587e-158,2.542858853046984e-156
TM4SF1,1.8778164,1.1107692141283669e-156,1.015811362241486e-154
COL4A2,3.0868022,1.368687489031614e-156,1.2458858059879442e-154
SELENOM,2.407848,1.154625337418285e-155,1.046186331074577e-153
CARMN,6.077174,1.4218627984844317e-155,1.2824158873303163e-153
TNFRSF12A,2.1674955,3.463066668928716e-155,3.1091697189258635e-153
CTGF,1.7922323,1.142260237834486e-154,1.0208691271046212e-152
FERMT2,2.3119042,1.3699950449992722e-150,1.197193003323364e-148
CAVIN3,3.5176432,5.417258421188379e-150,4.71301482643389e-148
PKIG,2.3595345,1.330848729652689e-149,1.14768191765049e-147
PTMA,0.4964073,4.871021737549934e-149,4.182272026362743e-147
KANK2,2.9507565,1.7526083454195983e-148,1.4917655968675385e-146
CAMTA1,1.5632867,1.8374883986661059e-146,1.5572714178695247e-144
TTLL7,4.7943544,2.4412854959839384e-145,2.051305787266504e-143
ESAM,2.7763224,2.638643937397572e-145,2.207702855196215e-143
FMO2,2.3680825,1.4764985191476485e-144,1.2301234696390281e-142
SELM,2.097642,3.2952359940492734e-143,2.733794519620119e-141
PRKCDBP,2.4133277,1.3408676913899587e-142,1.1077369978197214e-140
VCL,2.7748477,2.995008578346772e-142,2.4639271408976666e-140
MT1M,1.5927844,5.996570559957571e-142,4.91269043124524e-140
DYNLL1,0.95320255,1.1020657654507006e-141,8.991210406760031e-140
HACD1,4.458446,5.183652793414595e-141,4.211610794385032e-139
GMDS,3.5997984,9.856306963544758e-141,7.975090844329918e-139
ADAMTS1,2.150599,1.0462512952183804e-140,8.430898756796638e-139
NOTCH3,5.3408093,8.492689882103109e-140,6.787937742354119e-138
HSPB7,5.5667663,8.913619559787311e-140,7.095529869819356e-138
COX7A2,0.8091252,5.628779546447457e-139,4.426922537689996e-137
C2orf40,3.788045,6.75827286926619e-137,5.2730619506155485e-135
FRZB,5.500743,1.1492407276674243e-136,8.931372010828813e-135
HES4,3.47277,1.2151094959833034e-136,9.406095633867603e-135
CRIM1,2.5508628,3.7495447834868836e-136,2.8911195895262394e-134
EDIL3,5.025755,2.0080515813122664e-134,1.536276661158046e-132
MORF4L2,1.3970891,3.6189836953448386e-134,2.7580022254988457e-132
PDE5A,4.005285,1.5757718577757274e-133,1.1916471641379367e-131
SMOC2,4.048458,6.207400629383619e-133,4.658393556295447e-131
GUK1,0.9891779,3.319850795863911e-132,2.481935602596054e-130
WISP2,1.6474454,9.475743458021308e-130,7.004213077880262e-128
COL6A1,1.4516332,3.0363651053442745e-129,2.2276496530328034e-127
COL4A1,3.1276045,1.4207884498256077e-128,1.0384960037349851e-126
MT1X,1.4073693,2.083068910465602e-128,1.5113395172536776e-126
CAVIN1,2.601847,1.4097211645072006e-125,1.004273099150021e-123
ANTXR1,2.7877085,8.840986934833402e-125,6.275504877714597e-123
MRPL33,1.2809227,1.037362979655044e-124,7.310620396407698e-123
LIMCH1,3.0270863,1.396822174168619e-124,9.808684853036925e-123
WDR1,1.4842904,2.1589868801393587e-124,1.5106761579110345e-122
CRIP1,1.4231354,1.097753178205705e-121,7.573341399958096e-120
NDUFA4L2,3.9977796,1.295613785388607e-121,8.907118268640137e-120
SEPW1,2.2033815,7.0064178719373905e-121,4.783339867987256e-119
ARID5B,1.1823833,3.392188179434612e-120,2.2999035856566667e-118
MAP4,1.7891533,1.016730128382096e-119,6.869741506614698e-118
BCAM,2.7617915,1.119501445861313e-119,7.538231996070253e-118
NDUFB7,1.103667,2.74248621914035e-118,1.82789030646568e-116
C12orf57,1.0851125,8.603314733640405e-118,5.714809942325596e-116
ENAH,3.0525599,8.532673789285509e-117,5.592314401497722e-115
CPED1,3.2732885,1.2043807738839117e-116,7.867287301031718e-115
GSTP1,0.85602206,9.001502571736462e-115,5.802870280835486e-113
FBLN5,1.5288813,6.693675851513534e-114,4.273086188066854e-112
NDUFC1,1.3123592,2.891090865041522e-113,1.833697696401497e-111
AOC3,4.8237195,3.5338271952007936e-113,2.234151456978714e-111
EFHD1,4.548884,1.3320902345553977e-112,8.394730189688535e-111
PDK4,1.548429,1.4915449786628817e-112,9.36957104487846e-111
DST,1.7285695,3.3065002209047535e-112,2.0704588325932887e-110
C4orf3,1.0090537,1.0610110755408426e-111,6.601772078254446e-110
PRKG1,4.721246,1.77008259162127e-111,1.094445406177906e-109
RHOC,1.1309481,5.415131658632983e-111,3.3272599585013035e-109
KCNA5,6.1349716,9.098514631236371e-111,5.573052793749829e-109
LDOC1,3.7210815,3.596702426502824e-110,2.1894230064984063e-108
SERPING1,1.0706047,1.603058242070905e-109,9.698255740184041e-108
MRFAP1,1.1374352,4.5350004549679714e-108,2.726825044207347e-106
ITGA1,2.8155866,1.5543153533996293e-107,9.317362341019364e-106
C1QTNF1,3.2061026,2.5219962185729288e-107,1.507218530382399e-105
FBXO32,3.0254576,3.19674795966794e-107,1.9046805570603345e-105
MRPS6,1.8925555,4.424129052578504e-107,2.6280128529244272e-105
IGFBP5,1.2857368,7.827884170687018e-107,4.6358993543388e-105
TIMP1,1.1772425,1.691990123262734e-106,9.930719344355784e-105
ZFYVE21,1.8131347,1.7796980897644366e-106,1.0414411857425105e-104
KIF5B,1.3033026,2.0265756288608485e-106,1.1823896146783978e-104
PLAC9,1.1457468,2.3455124403073444e-106,1.3644220592107398e-104
ELN,1.9060467,7.640179650889344e-105,4.4182709498760673e-103
SOD1,0.8433952,7.462306359010742e-103,4.302752716447778e-101
MRVI1,5.305248,9.695002266520973e-103,5.5575257890476786e-101
ECM2,2.6606994,2.4582018144363116e-102,1.4009612775491814e-100
CASQ2,6.5258746,4.1518441138642944e-102,2.3593514152254265e-100
PARK7,0.88352126,8.13719816220197e-102,4.610766290063837e-100
NET1,2.9693928,8.288495235624117e-102,4.682999808127626e-100
GAS6,1.9044708,5.5324608940949435e-99,3.06420411548436e-97
COL1A2,1.3150698,1.2746517791917132e-98,7.039944742266143e-97
PTRF,2.0062304,2.456356089771789e-98,1.3490746770137686e-96
DES,5.171118,4.1341214077093796e-97,2.2392588186882043e-95
YBX1,0.7569343,7.75939348677752e-97,4.1913515037642745e-95
ISYNA1,3.8223557,3.6045717269259484e-96,1.9311468472702452e-94
CLU,1.1327928,7.843990397328566e-96,4.179635208462717e-94
