Ablation Model,PV_Spearman,PV_Pearson,PV_MAE,PV_R2,RV_AUC,RV_F1,RV_Acc
Ours (Full),0.8487737348870195,0.9986516203090261,0.06785829128874761,0.9964486173706465,1.0,0.18685121107266436,0.5518118245390973
- Geometry,0.8103133190589406,0.9179875079890647,0.46406834270851144,0.832584850614828,0.5542150729818289,0.10841983852364476,0.5085823267641449
- FAPPC,0.8466559939930097,0.9967472035776195,0.11379486366398642,0.9934757770234293,0.9975010756958924,0.18685121107266436,0.5518118245390973
- Multi-omics,0.6258062858780389,0.472585834380048,1.4346037174383108,-0.32722022179299914,0.908996127494787,0.17993079584775087,0.5479974570883662
